Pallet_ID,Customer_ID,Origin_Location,Destination_Location,Date_Shipped,Date_Returned,Status,Delay_Days,Movement_Type,Condition,Notes
P00001,C009,Warehouse_B,Site_23,2025-04-13,,In Transit,1.0,Standard,Good,
P00002,C015,Warehouse_B,Site_28,2025-04-17,2025-05-01,Returned,2.0,Standard,Good,
P00003,C019,Warehouse_A,Site_23,2025-03-16,,Lost,0.0,Standard,Lost,Flagged for delay
P00004,C004,Warehouse_C,Site_18,2025-04-10,2025-04-14,Returned,0.0,Return,Good,Inspected on return
P00005,C001,Warehouse_B,Site_7,2025-06-07,2025-06-17,Returned,3.0,Return,Good,
P00006,C005,Warehouse_B,Site_9,2025-02-27,2025-03-13,Returned,3.0,Express,Good,
P00007,C014,Warehouse_B,Site_10,2025-02-28,2025-03-05,Returned,,Return,Good,Awaiting investigation
P00008,C013,Warehouse_B,Site_27,2025-03-05,2025-03-10,Returned,0.0,Express,Good,Awaiting investigation
P00009,C011,Warehouse_A,Site_10,2025-03-14,2025-03-25,Returned,,Return,Damaged,Inspected on return
P00010,C009,Warehouse_C,Site_20,2025-01-09,2025-01-15,Returned,0.0,Standard,Good,Awaiting investigation
P00011,C015,Warehouse_C,Site_16,2025-06-21,,Lost,2.0,Return,Lost,Awaiting investigation
P00012,C020,Warehouse_B,Site_27,2025-02-04,2025-02-11,Returned,3.0,Express,Good,Awaiting investigation
P00013,C001,Warehouse_A,Site_23,2025-01-02,2025-01-17,Returned,3.0,Return,Good,
P00014,C005,Warehouse_B,Site_30,2025-05-26,2025-06-07,Returned,0.0,Express,Damaged,Inspected on return
P00015,C007,Warehouse_B,Site_7,2025-01-14,,In Transit,,Express,Good,Awaiting investigation
P00016,C017,Warehouse_A,Site_13,2025-02-09,2025-02-15,Returned,2.0,Return,Good,
P00017,C019,Warehouse_C,Site_6,2025-01-24,,In Transit,0.0,Standard,Good,
P00018,C019,Warehouse_B,Site_12,2025-05-04,2025-05-09,Returned,2.0,Return,Good,Awaiting investigation
P00019,C003,Warehouse_B,Site_24,2025-01-09,2025-01-19,Returned,0.0,Express,Good,Awaiting investigation
P00020,C005,Warehouse_B,Site_25,2025-03-22,2025-04-04,Late Return,0.0,Express,Good,Inspected on return
